B23006    183.34   12.45   25.76
B96747     67.19   22.00   61.90
B35603    127.31   21.61   22.95
B79643    165.78   15.30   12.82
B55274     84.24   21.68   10.39
B43052    126.93   20.94   42.85
B54590    184.81   22.30   59.99
B42984     84.03   20.24   20.23
B46814    174.03   12.92   54.78
B17410    147.95   14.53   19.07
B75027    181.64   13.07   45.04
B95238    157.13   21.57   64.64
B81118    174.92   13.42   18.46
B12513     55.73   16.85   67.34
B73796    133.85   18.58   43.58
B44606    134.88   21.71   10.71
B94503     62.79   17.28   55.61
B95117    130.96   22.74   27.19
B21370    142.88   23.38   12.10
B10183    163.38   10.40   22.98
B73668     80.33   24.26   36.23
B77464    189.64   18.83   41.76
B58789    194.51   10.09   18.58
B11610     72.43   14.22   27.91
B35450     83.23   15.83   27.01
B91955     85.67   13.60   43.84
B87469    160.17   16.75   15.46
B70080     52.90   12.03   44.18
B32732    101.61   24.42   50.03
B18818    197.78   17.85   33.68
B31599    114.74   19.23   11.93
B93964     77.99   17.02   55.69
B39305    144.65   12.54   14.84
B78867    179.50   11.84   65.69
B18982    134.71   13.94   64.55
B94977    176.77   12.86   45.10
B12481     53.54   21.24   65.56
B98630     71.33   16.53   47.66
B85696    138.75   11.37   24.28
B85720    154.55   10.71   24.61
